id,Gender.self,Year.self,Born.self,Hukou.self,Live.self,Marriage.self,Height.self,Weight.self,Looking.self,Personality.self,Edu.self,Eduno.self,top.self,Abroad.self,Major.self,Job.self,Salary.self,Apt.self,Family.self,Hobby.self,Other.self,interesting.self,Gender.wanted,Year.max.wanted,Year.min.wanted,Year.text.wanted,Hukou.wanted,Live.wanted,Marriage.wanted,Height.min.wanted,Looking.wanted,Personality.wanted,Hobby.wanted,Edu.min.wanted,Edu.min.n.wanted,Job.wanted,Salary.min.wanted,Apt.wanted,Family.wanted,Other.wanted,interesting.wanted,Similar.wanted
821,女性,1989,上海,N,日本大阪,单身,1.63,N,貌佳清秀,温柔善良,本科,4,重点大学毕业,Y,N,汽车配件,N,N,家境好,N,N,N,男性,1984,1994,1984年到1994年间出生,N,N,N,N,N,阳光,N,N,N,N,N,N,N,N,N,N
822,女性,1983,上海,有上海户口,德国,单身,1.6,N,貌佳清秀,善良,研究生,5,N,Y,N,报社,N,N,N,N,家境好,N,男性,1978,1988,1978年到1988年间出生,上海户口,德国,N,N,N,优秀,N,N,N,在德国有工作,N,N,N,N,N,N
823,女性,1986,上海,有上海户口,N,单身,1.7,N,貌佳清秀,善良、体贴、性格开朗,本科,4,N,N,N,国企,N,有房,N,N,家境好。独生女。备有婚房,N,男性,1981,1991,1981年到1991年间出生,N,N,未婚,1.8,N,阳光，有担当、责任心，成熟稳重,无不良嗜好,N,N,N,N,有婚房,N,N,N,N
824,女性,1992,上海,N,N,单身,1.69,N,清秀,文静善良,研究生,5,N,Y,N,银行,N,有房,N,N,备有婚房,N,男性,1987,1997,1987年到1997年间出生,上海户口,N,未婚,1.78,N,有担当、有责任心,N,本科,4,N,N,N,N,N,N,N
825,女性,1986,上海,有上海户口,N,单身,1.66,N,气质佳,善良、温柔、体贴、大方,研究生,5,N,N,法学,律师,N,N,N,N,家境好,N,男性,1981,1991,1981年到1991年间出生,上海户口,N,未婚,1.78,N,阳光，有担当，责任心，稳重优秀,N,N,N,稳定工作,N,有婚房,N,N,N,N
826,女性,1990,上海,N,加拿大,单身,1.7,N,美丽、端正、清秀,心地善良、性格开朗,研究生,5,N,Y,N,会计事务所,N,N,N,N,家境好。已获枫叶卡,已获枫叶卡,男性,1985,1995,1985年到1995年间出生,N,加拿大多伦多或者美国,N,1.75,N,人品好、性格佳、有爱心,N,N,N,N,N,N,N,N,N,N
827,女性,1989,N,N,N,N,1.65,N,清秀,善良、体贴,研究生,5,N,Y,N,外企,N,有房,N,N,备有婚房,N,男性,1984,1994,1984年到1994年间出生,N,N,未婚,1.75,N,阳光、有担当、有责任心,N,本科,4,N,N,要有婚房,N,N,N,N
828,女性,1990,上海,有上海户口,上海,单身,1.65,N,貌佳,善良体贴、性格开朗,研究生,5,N,Y,N,媒体广告公司,N,N,N,N,N,N,男性,1985,1995,1985年到1995年间出生,N,N,未婚,1.75,N,阳光、有担当、有责任心、成熟稳重,无不良嗜好,本科,4,N,N,N,N,N,N,N
829,女性,1988,上海,有上海户口,上海,离异,1.64,N,N,气质佳、善良温柔、体贴大方,本科,4,N,N,N,外企人事,N,N,N,N,N,N,男性,1983,1993,1983年到1993年间出生,N,N,N,1.75,N,阳光、有担当、有责任心、成熟稳重,N,本科,4,工作稳定,N,要有婚房,N,N,N,N
830,女性,1990,上海,有上海户口,上海,单身,1.64,N,貌佳甜美,善良、体贴、大方,本科,4,N,N,N,银行,N,N,家境好,N,N,N,男性,1985,1995,1985年到1995年间出生,N,N,未婚,1.75,N,阳光、有担当、有责任心,N,本科,4,N,N,要有婚房,家境好,事业有成,N,N
831,女性,1986,上海,N,N,单身,1.62,N,N,甜美、善良、体贴、大方,研究生,5,N,Y,N,汽车公司,N,有房,N,N,独生女。备有婚房,N,男性,1981,1991,1981年到1991年间出生,N,N,未婚,1.75,N,阳光，有担当、责任心，稳重,N,本科,4,事业有成,N,要有婚房,N,N,N,N
832,女性,1992,上海,有上海户口,N,单身,1.62,N,甜美清秀,温柔善良,大专,3,N,N,N,外企财务,N,N,N,N,家境好,N,男性,1987,1997,1987年到1997年间出生,N,N,未婚,1.72,N,阳光,N,N,N,N,N,有婚房,N,N,N,N
833,女性,1990,上海,N,N,单身,1.6,N,貌佳甜美,温柔,本科,4,N,N,N,金融,N,有房,N,N,家境好。备有婚房,N,男性,1985,1995,1985年到1995年间出生,上海户口,N,未婚,1.7,N,阳光、有担当、有责任心、稳重,N,N,N,稳定工作,N,有婚房,N,N,N,N
834,女性,1989,上海,有上海户口,上海,N,1.56,N,气质佳、甜美,善良、体贴、大方,本科,4,N,N,N,公安文员,N,N,N,N,N,N,男性,1979,1989,1979年到1989年间出生,N,N,N,1.7,N,阳光、有担当、有责任心,N,N,N,事业有成,N,有婚房,N,短婚。有缘。相适,N,N
